不学无术,学：学问；术：技能。原指没有学问因而没有办法。现指没有学问，没有本领。
著作等身,形容著述极多，迭起来能跟作者的身高相等。
斯文扫地,斯文：指文化或文人；扫地：比喻名誉、信用、地位等完全丧失。指文化或文人不受尊重或文人自甘堕落。
鬼哭狼嚎,形容大声哭叫，声音凄厉。
置若罔闻,置：放，摆；若：好象。放在一边，好象没有听见似的。指不予理睬。
重义轻财,谓看重仁义而轻视钱财。
唇红齿白,嘴唇红，牙齿白。形容人容貌俊美。
血迹斑斑,形容留下的血迹很多。
物以类聚,同类的东西聚在一起。指坏人彼此臭味相投，勾结在一起。
倒行逆施,原指做事违反常理，不择手段。现多指所作所为违背时代潮流或人民意愿。
助纣为虐,比喻帮助坏人干坏事。
一生一世,一辈子。
达官贵人,达官：大官。指地位高的大官和出身侯门身价显赫的人。
出敌不意,指行动出于敌方意料
椎心泣血,椎心：捶胸脯；泣血：哭得眼中流血。捶拍胸膛，哭泣出血。形容非常悲痛。
闻所未闻,闻：听到。听到了从来没有听到过的事。形容事物新奇罕见。 
怏怏不乐,怏怏：形容不满意的神情。心中郁闷，很不快活。
千难万难,犹言好不容易。
手足无措,措：安放。手脚不知放到哪儿好。形容举动慌张，或无法应付。
不落窠臼,比喻有独创风格，不落旧套。
风餐露宿,风里吃饭，露天睡觉。形容旅途或野外工作的辛苦。
风鬟雨鬓,形容妇女在外奔波劳碌，头发散乱。
鸿鹄之志,鸿鹄：天鹅，比喻志向远大的人；志：志向。比喻远大志向。
惊惶失措,惊慌惶恐，举止失去常态
关门闭户,门户都关闭起来。形容冷清寥落。
文质彬彬,文：文采；质：实质；彬彬：形容配合适当。原形容人既文雅又朴实，后形容人文雅有礼貌。
天翻地覆,覆：翻过来。形容变化巨大。也形容闹得很凶。
君子固穷,君子：有教养、有德行的人；固穷：安守贫穷。指君子能够安贫乐道，不失节操。
狼心狗行,心肠似狼，行为如狗。比喻贪婪凶狠，卑鄙无耻。
小人得志,小人：旧指道德低下或行为不正派的人。指人格卑下的人取得权势。
追亡逐北,追击败走的敌军。
高门大户,高门：旧时指富贵之家；大户：声势显赫的家族。有钱有势的人家。
分文未取,见“分文不取”。
胁肩谄笑,胁肩：耸起双肩做出恭谨的样子；谄笑：装出奉承的笑容。为了奉承人，缩起肩膀装出笑脸。形容巴结人的丑态。
万家灯火,家家点上了灯。指天黑上灯的时候。也形容城市夜晚的景象。
儒雅风流,①文雅而飘逸。②谓风雅淳正。
枕戈待旦,戈：古代的一种兵器；旦：早晨。意思是立志杀敌，枕着武器睡觉等天亮。形容时刻准备作战，
恶性循环,许多坏事互为因果，循环不已，越来越坏。
踉踉跄跄,走路歪歪斜斜的样子
招摇撞骗,撞骗：寻机骗人。假借名义，进行蒙骗欺诈。
大功告成,功：事业；告：宣告。指巨大工程或重要任务宣告完成。
出其不备,指行动出乎人的意料
俯首贴耳,俯首：低头。低着头，耷拉着耳朵。形容恭顺服从，屈卑驯服的样子
困而学之,困：困惑。遇到困惑的时候就学习。
心驰神往,形容一心一意的向往
外圆内方,比喻人表面随和，内心严正。也指钱币。
千金一掷,形容生活奢侈，用钱没有节制。
首屈一指,首：首先。扳指头计算，首先弯下大拇指，表示第一。指居第一位。引申为最好的。
烈烈轰轰,烈烈：火焰炽盛的样子；轰轰：象声词，形容巨大的声响。形容事业的兴旺。也形容声势浩大，气魄宏伟。
含冤莫白,含：包藏；莫：无处，无法；白：弄明白。指有冤屈无处申诉、无法昭雪
雾鬓风鬟,鬓：脸旁靠近耳朵的头发；鬟：环形发髻。形容女子头发的美。也形容女子头发蓬松散乱。
返璞归真,同“返朴归真”。
鞭辟入里,鞭辟：鞭策，激励；里：最里层。形容作学问切实。也形容分析透彻，切中要害。
生动活泼,内容和形式的丰富、活跃
改天换地,彻底改变原来的面貌。指改造社会，改造自然。
千家万户,众多人家。
挨冻受饿,挨：遭受。指缺衣少食的穷困状况
表里一致,里外一致，指思想与言行完全一致
百听不厌,形容乐曲或歌曲好听，使人听多少遍也不厌烦。

人中骐骥,骐骥：良马。比喻才能出众的人。
烽火连天,形容战火遍及各地。
言必有据,说话一定要有根据。
机关算尽,机关：周密、巧妙的计谋。比喻用尽心思。
何去何从,去：离开；从：跟随。离开哪儿，走向哪儿。多指在重大问题上选择什么方向。
未卜先知,卜：占卜，打卦，古人用火灼龟甲，看灼开的裂纹推测未来的吉凶祸富。没有占卜便能事先知道。形容有预见。
不敢掠美,掠：掠夺。不敢掠夺旁人之美。
地动山摇,地震发生时大地颤动，山河摇摆。亦形容声势浩大或斗争激烈。
膀大腰圆,形容魁梧粗壮的人
婆婆妈妈,形容人动作琐细，言语罗唆。也形容人感情脆弱。
美景良辰,良：美好；辰：时辰。美好的时光和景物。
言之有物,物：内容。文章或讲话有具体内容。
天下无双,天下找不出第二个。形容出类拔萃，独一无二。
未可厚非,厚非：过分责难、责备。不能过分责备。指说话做事虽有缺点，但还有可取之处，应予谅解。
殚精竭虑,殚：竭尽；虑：思虑。形容用尽心思。
公私兼顾,既照顾到公家的利益，也照顾到私人的利益。
视同儿戏,把事情当成小孩儿玩耍一样来对待。比喻不当一回事，极不重视。
百花争妍,妍：美、艳。形容繁华盛开，生气勃勃的景象
长风破浪,比喻志向远大，不怕困难，奋勇前进。
皮里阳秋,指藏在心里不说出来的言论。
结结巴巴,形容说话不流利。也比喻凑合，勉强。
哑口无言,哑口：象哑巴一样。象哑巴一样说不出话来。形容理屈词穷的样子。
强词夺理,强词：强辩；夺：争。指无理强辩，明明没理硬说有理。
饱经忧患,饱：充分；经：经历。长期、多次经历过忧愁、困苦，社会经验丰富
举重若轻,举起沉重的东西像是在摆弄轻的东西。比喻能力强，能够轻松地胜任繁重的工作或处理困难的问题。
舒眉展眼,神态舒适，无忧无虑的样子。
招摇过市,指在公开场合大摇大摆显示声势，引人注意。
大摇大摆,走路时身子摇摇摆摆。形容自以为了不起的傲慢神态。
金相玉质,比喻文章的形式和内容都完美。也形容人相貌端美。
彰善瘅恶,彰：表明、显扬；瘅：憎恨。表扬好的，斥责恶的。
纵横交错,横的竖的交叉在一起。也形容情况复杂。
八面受敌,①谓功力深厚，能应付各种情况。②砚名。
反复推敲,多次捉摸，选择最佳方案
日暮途穷,暮：傍晚；途：路。天已晚了，路已走到了尽头。比喻处境十分困难，到了末日。也形容穷困到极点。
挺身而出,挺身：撑直身体。挺直身体站出来。形容面对着艰难或危险的事情，勇敢地站出来。
一命呜呼,呜呼：叹词，古代祭文末多有此词，后即以此为死亡的代称。指人死亡。
村野匹夫,村野：荒村山野。匹夫：平民百姓。旧指没有知识、没有地位的人。
真心实意,心意真实诚恳，没有虚假。
能上能下,谓干部不计较职位高低，不论处于领导岗位或在基层从事实际工作，都能踏踏实实地干。实行能上能下，是对干部职务终身制的一项重要改革。
明知故犯,明明知道不能做，却故意违犯。
锐不可当,锐：锐气；当：抵挡。形容勇往直前的气势，不可抵挡。
如释重负,释：放下；重负：重担子。象放下重担那样轻松。形容紧张心情过去以后的的轻松愉快。
精美绝伦,绝伦：没有比得上的。精致美妙，无与伦比
雍容典雅,形容文气舒缓，词藻优美而不俗。
杜鹃啼血,传说杜鹃昼夜悲鸣，啼至血出乃止。常用以形容哀痛之极。
日以继夜,晚上连着白天。形容加紧工作或学习。
扇枕温衾,同“扇枕温席”。
之乎者也,这四个字都是文言虚词，讽刺人说话喜欢咬文嚼字。也形容半文不白的话或文章。
红颜薄命,红颜：美女的容颜；薄命：命运不好。旧时指女子容貌美丽但遭遇不好（多指早死、寡居或丈夫不好）。
出口伤人,说出话来污辱人；说出的话有损人的尊严。
不可捉摸,捉摸：揣测，预料。指对人或事物无法猜测和估量。
大浪淘沙,淘：用水冲洗。去掉杂质。在大浪中洗净沙石。比喻在激烈的斗争中经受考验、筛选。
不偏不倚,倚：偏。不偏向任何一方。表示中立或公正。
食前方丈,方丈：一丈见方。吃饭时面前一丈见方的地方摆满了食物。形容吃的阔气。
扭转乾坤,比喻从根本上改变已成的局面。
披肝沥胆,披：披露；沥：往下滴。比喻真心相见，倾吐心里话。也形容非常忠诚。
不自量力,自己不估量自己的能力。指过高地估计自己的实力。
宾客盈门,盈：充满。指来客很多
从中渔利,渔：劳取。渔利：乘机谋取不正当的权益。人当中捞取好处。
一片冰心,冰心：清洁的心。形容性情淡泊，不求名利。
目不忍睹,眼睛不忍看，形容景象很凄惨
飞来横祸,意外的灾祸。
亡羊补牢,亡：逃亡，丢失；牢：关牲口的圈。羊逃跑了再去修补羊圈，还不算晚。比喻出了问题以后想办法补救，可以防止继续受损失。
不敢问津,问津：询问渡口，问路。指高贵的、深奥的事物不敢过问或尝试。
无关大体,比喻没有多大关系。
面红耳热,见“面红耳赤”。
无缘无故,没有一点原因。
巨细无遗,大小都没有遗漏
寝苫枕块,苫：草荐。睡在草荐上，头枕着土块。古时宗法所规定的居父母丧的礼节。
七情六欲,泛指人的喜、怒、哀、乐和嗜欲等。
服服贴贴,指让人信服或物品平整
擎天之柱,支撑天的柱子。古代神话传说昆仑山有八柱擎天，后用以比喻能担负重任的人。亦作“擎天玉柱”。
既往不咎,原指已经做完或做过的事，就不必再责怪了。现指对以往的过错不再责备。
居功自傲,自以为有功劳，觉得了不起。
有名无实,光有空名，实际上并不是那样。
不痛不痒,既不是痛，也不是痒。原形容说不出的一种难受。现多比喻不触及实质，不切中要害，不解决问题。
墨汁未干,写字的墨汁还没有干。比喻协定或盟约刚刚签订不久（多用于指责对方违背诺言）。
头重脚轻,头脑发胀，脚下无力。形容身体不适。也比喻基础不牢固。
南征北伐,亦作“南征北讨”。亦作“南征北战”。形容转战南北，经历了许多战斗。
塞翁失马,塞：边界险要之处；翁：老头。比喻一时虽然受到损失，也许反而因此能得到好处。也指坏事在一定条件下可变为好事。 
十全十美,十分完美，毫无欠缺。
大得人心,人心：即民心。指受百姓热烈拥护。
悔过自新,悔：悔改；过：错误；自新：使自己重新做人。悔恨以前的过失，决心重新作人。
九霄云外,在九重天的外面。比喻无限远的地方或远得无影无踪。
威风凛凛,威风：威严的气概；凛凛：严肃，可敬畏的样子。形容声势或气派使人敬畏。
